breakfast	math	life_style
0.5275059080466425	0.8694183176643719	0.8528104691935328
0.7806981891655508	0.5093419712523738	0.5800314416734447
0.883981068724457	0.9273943284008148	0.9481786398402916
0.3676119037061262	0.5033020305005401	0.3045444240247178
0.3799244536608283	0.4656102646423078	0.4697285583404604
0.285098496037468	0.8811087254135611	0.47935622964128843
0.497958428576776	0.5656821847101685	0.5821197003876745
0.2725473338137405	0.5026430166031364	0.5288087142321756
0.9830414227388935	0.5147580133151703	0.7908547013925951
0.7298116270329289	0.5305089057367276	0.6522075450293987
0.5335567281633149	0.6320630197813929	0.5243350032985656
0.4939252708938269	0.3819837654547491	0.5887726465490851
0.4448660436703121	0.6137338355119969	0.5667348654748534
0.8956219131494597	0.592804298006575	0.7988158146315212
0.6926983982251856	0.48372088593859797	0.4589683472468398
0.27067132017567863	0.7547919954786584	0.5626135403301803
0.24302336883383346	0.5079122379989722	0.32918085213965503
0.6337699854283174	0.7575087908055664	0.6307237190880721
0.6821466084628025	0.7095631745309277	0.6728872397719011
0.972023507416924	0.7136001726651127	0.9539509247975215
0.09510025223483673	0.2908822348867005	0.20912686508024703
0.7025254826491372	0.5473722318759393	0.5091517034602893
0.6449422328600117	0.47345417827882225	0.4625632299948333
0.3599777494114581	0.4116062555774814	0.793871753980057
0.8436094889323267	0.7830551972796582	0.5309894851393833
0.48046281606767266	0.3904052272349971	0.5756325039204347
0.23206516540869018	0.1032458130061055	0.32244285047397747
0.4310756386168158	0.13420852048553206	0.10384070635521458
0.1973911764463957	0.5037315296576892	0.43041757013476944
0.4170910201509172	0.5535822658323428	0.531269793820796
0.7927458158135003	0.8362126247356014	0.7460581361455442
0.9504986482477704	0.12336703134537345	0.7404759697568822
0.5054396203500146	0.9049613222084828	0.42253463651840956
0.5423281021177484	0.12967019697593313	0.4395394498849329
0.1262056301157253	0.4384116453790482	0.29028940698658146
0.118370254162321	0.33142863411381107	0.21599641256420493
0.39651109970360177	0.2346649940782386	0.15874596187499745
0.7720936898742363	0.345900225235629	0.3980695636496693
0.4688185562694951	0.11275808975474111	0.4123851396777627
0.13780929188331886	0.327597080833155	0.24944092799001477
0.152048256667984	0.3066305277980695	0.32090668776126485
0.42996604075845635	0.44107278280503254	0.5773804995718524
0.34228955220935864	0.24583455075734237	0.3978389724862254
0.2891409276124062	0.20526469298534344	0.2638735631755176
0.7019736945752844	0.543554259992877	0.49436355433226903
0.9173127186457676	0.9117606400520629	0.5856663741060836
0.40583995304533355	0.2253061626165987	0.5133034444766336
0.5228392876426752	0.9359202865860529	0.5604943795479562
0.1719134975127038	0.4943809878294666	0.3731355812638073
0.46057079440207926	0.43418977381196466	0.42745176680257235
