label	x1	x2
0	0.2654	17.33
0	0.186	23.41
0	0.243	25.53
0	0.2575	26.5
0	0.1625	16.67
0	0.1741	23.75
0	0.1932	27.66
0	0.1556	28.14
0	0.206	30.73
0	0.221	40.68
0	0.09975	33.88
0	0.181	27.28
0	0.1767	29.94
0	0.1119	27.66
0	0.2208	32.01
0	0.1712	37.13
0	0.1609	30.88
0	0.2073	31.48
0	0.2388	30.88
1	0.1288	19.26
1	0.07283	20.49
1	0.06227	15.66
0	0.2393	19.08
0	0.2009	35.59
0	0.2095	31.56
0	0.255	21.4
0	0.2701	33.21
0	0.149	27.26
0	0.2024	36.71
0	0.1456	19.52
0	0.1848	34.01
0	0.1546	28.12
0	0.1847	32.09
0	0.1785	30.9
0	0.1864	27.26
0	0.1813	29.02
0	0.1447	30.36
1	0.05013	22.81
0	0.02899	25.2
0	0.2258	26.02
0	0.1112	30.25
0	0.1424	35.34
0	0.2493	33.17
0	0.1492	28.0
0	0.1607	29.89
0	0.2378	21.32
1	0.02564	21.96
0	0.2088	27.95
1	0.06548	20.7
1	0.1282	31.82
1	0.03715	25.72
1	0.08586	23.19
1	0.06296	21.33
0	0.1325	24.13
0	0.153	31.69
1	0.06316	22.47
0	0.2091	28.14
0	0.1834	30.7
1	0.01111	22.25
1	0.04419	15.4
1	0.02579	17.45
1	0.02778	27.04
0	0.1785	29.51
1	0.05087	19.23
0	0.1716	33.47
0	0.1614	33.39
1	0.06517	31.56
1	0.06961	23.84
1	0.175	22.65
1	0.05882	19.76
0	0.1789	26.58
1	0.04786	15.67
0	0.1899	33.82
0	0.1383	20.86
1	0.0866	23.21
0	0.152	24.56
1	0.07407	12.49
0	0.2102	18.91
0	0.2508	31.72
1	0.07926	24.82
1	0.06127	32.16
1	0.1708	23.19
0	0.2867	33.62
0	0.1841	32.72
1	0.07632	24.9
0	0.1642	27.68
0	0.1225	29.25
0	0.1956	30.41
1	0.1205	30.5
1	0.1397	18.24
1	0.06946	29.11
0	0.1476	25.84
1	0.1001	22.35
1	0.07911	25.94
0	0.2115	24.23
0	0.1573	31.59
1	0.05882	20.92
1	0.02381	26.29
1	0.08449	17.16
0	0.1565	30.86
0	0.1184	35.27
1	0.0	19.54
1	0.07431	32.84
1	0.09749	26.83
1	0.03203	23.31
0	0.1986	22.4
1	0.1218	29.26
1	0.08442	27.49
0	0.291	28.01
1	0.08278	29.15
1	0.05334	21.47
1	0.1105	25.47
1	0.1505	23.73
1	0.06136	22.75
1	0.105	19.62
1	0.07247	26.15
1	0.03846	17.07
0	0.2027	27.37
0	0.2034	30.5
0	0.1185	27.83
1	0.08958	15.97
0	0.1674	24.9
0	0.2248	23.99
1	0.1221	15.98
1	0.08978	22.75
1	0.05104	23.58
0	0.1329	35.64
0	0.1218	25.73
1	0.1423	18.33
0	0.1732	33.58
1	0.08187	17.81
0	0.1514	26.0
0	0.1312	31.68
1	0.1374	19.25
0	0.1379	31.39
0	0.09331	33.37
1	0.06968	25.48
1	0.08476	22.02
0	0.1667	21.43
1	0.08611	15.77
1	0.0	14.1
0	0.1216	25.27
1	0.06402	26.76
1	0.1012	21.82
